title,tyear,duration,score
This Is It ,2009,111,7.3
Contagion ,2011,106,6.6
Kangaroo Jack ,2003,89,4.4
Coraline ,2009,100,7.7
The Happening ,2008,91,5
Man on Fire ,2004,146,7.7
The Shaggy Dog ,2006,98,4.4
Starsky & Hutch ,2004,101,6.1
Jingle All the Way ,1996,94,5.4
Hellboy ,2004,132,6.8
A Civil Action ,1998,115,6.5
ParaNorman ,2012,92,7
The Jackal ,1997,124,6.3
Paycheck ,2003,119,6.3
Up Close & Personal ,1996,124,6.1
The Tale of Despereaux ,2008,93,6.1
Rules of Engagement             ,,22,7.3
The Tuxedo ,2002,98,5.3
Under Siege 2: Dark Territory,1995,92,5.4
Jack Ryan: Shadow Recruit ,2014,105,6.2
Joy ,2015,124,6.6
London Has Fallen ,2016,99,5.9
Alien: Resurrection ,1997,116,6.3
Shooter ,2007,124,7.2
The Boxtrolls ,2014,96,6.8
Practical Magic ,1998,104,6.1
The Lego Movie ,2014,100,7.8
Miss Congeniality 2: Armed and Fabulous,2005,115,5
Reign of Fire ,2002,101,6.2
Gangster Squad ,2013,113,6.7
Year One ,2009,100,4.9
Invictus ,2009,134,7.4
State of Play ,2009,127,7.1
Duplicity ,2009,125,6.2
My Favorite Martian ,1999,94,4.9
The Sentinel ,2006,107,6.1
Planet 51,2009,91,6.1
Star Trek: Nemesis ,2002,116,6.4
Intolerable Cruelty ,2003,100,6.3
Trouble with the Curve ,2012,111,6.8
Edge of Darkness ,2010,117,6.6
The Relic ,1997,110,5.7
Analyze That ,2002,96,5.9
Righteous Kill ,2008,101,6
Mercury Rising ,1998,111,6.1
The Soloist ,2009,117,6.7
The Legend of Bagger Vance ,2000,126,6.7
Almost Famous ,2000,152,7.9
Garfield 2,2006,86,5
xXx: State of the Union ,2005,101,4.3
Priest ,2011,87,5.7
Sinbad: Legend of the Seven Seas ,2003,85,6.7
Event Horizon ,1997,130,6.7
The Avengers ,2012,173,8.1
Dragonfly ,2002,104,6.1
The Black Dahlia ,2006,121,5.6
Flyboys ,2006,140,6.6
The Last Castle ,2001,131,6.9
Supernova ,2000,91,4.8
Winter's Tale ,2014,118,6.2
The Mortal Instruments: City of Bones ,2013,130,6
Meet Dave ,2008,90,4.9
Dark Water ,2005,103,5.6
Edtv ,1999,122,6.1
Inkheart ,2008,106,6.1
The Spirit ,2008,103,4.8
Mortdecai ,2015,107,5.5
In the Name of the King: A Dungeon Siege Tale ,2007,156,3.8
Beyond Borders ,2003,127,6.5
Xi you ji zhi: Sun Wukong san da Baigu Jing ,2016,119,6
The Great Raid ,2005,132,6.7
Deadpool ,2016,108,8.1
Holy Man ,1998,114,4.9
American Sniper ,2014,133,7.3
Goosebumps ,2015,103,6.4
"Sabrina, the Teenage Witch             ",,22,6.6
Just Like Heaven ,2005,95,6.7
The Flintstones in Viva Rock Vegas ,2000,90,3.6
Rambo III ,1988,87,5.7
Leatherheads ,2008,114,6
The Ridiculous 6,2015,119,4.9
Did You Hear About the Morgans? ,2009,103,4.7
The Internship ,2013,125,6.3
Resident Evil: Afterlife ,2010,97,5.9
Red Tails ,2012,125,5.9
Sex and the City             ,,30,7
The Devil's Advocate ,1997,136,7.5
That's My Boy ,2012,116,5.6
DragonHeart ,1996,103,6.4
After the Sunset ,2004,97,6.3
Ghost Rider: Spirit of Vengeance ,2011,96,4.3
Captain Corelli's Mandolin ,2001,131,5.9
Anger Management             ,,22,6.7
The Pacifier ,2005,95,5.5
Walking Tall ,2004,86,6.2
Forrest Gump ,1994,142,8.8
Alvin and the Chipmunks ,2007,92,5.2
Meet the Parents ,2000,108,7
Pocahontas ,1995,84,6.6
Superman ,1978,188,7.3
The Nutty Professor ,1996,95,5.6
Hitch ,2005,118,6.6
George of the Jungle ,1997,92,5.4
American Wedding ,2003,74,6.3
Captain Phillips ,2013,134,7.9
Date Night ,2010,101,6.3
Casper ,1995,100,6
The Equalizer ,2014,132,7.2
Maid in Manhattan ,2002,105,5.1
Crimson Tide ,1995,123,7.3
The Pursuit of Happyness ,2006,117,8
Flightplan ,2005,98,6.2
Disclosure ,1994,128,6
City of Angels ,1998,114,6.7
Kill Bill: Vol. 1,2003,111,8.1
Bowfinger ,1999,85,6.4
Stargate SG-1,,44,8.4
Kill Bill: Vol. 2,2004,137,8
Tango & Cash ,1989,97,6.3
Death Becomes Her ,1992,104,6.4
Shanghai Noon ,2000,110,6.6
Executive Decision ,1996,133,6.4
Mr. Popper's Penguins ,2011,94,6
The Forbidden Kingdom ,2008,104,6.6
Free Birds ,2013,91,5.9
Alien 3,1992,145,6.4
Evita ,1996,135,6.3
Ronin ,1998,122,7.3
The Ghost and the Darkness ,1996,110,6.8
Paddington ,2014,95,7.2
The Watch ,2012,102,5.7
The Hunted ,2003,94,6
Instinct ,1999,126,6.5
Stuck on You ,2003,118,5.8
Semi-Pro ,2008,99,5.8
The Pirates! Band of Misfits ,2012,88,6.7
Changeling ,2008,141,7.8
Chain Reaction ,1996,107,5.6
The Fan ,1996,116,5.8
The Phantom of the Opera ,2004,143,7.4
Elizabeth: The Golden Age ,2007,114,6.9
Æon Flux ,2005,93,5.5
Gods and Generals ,2003,280,6.3
Turbulence ,1997,100,4.7
Imagine That ,2009,107,5.6
Muppets Most Wanted ,2014,119,6.4
Thunderbirds ,2004,95,4.2
Burlesque ,2010,119,6.4
A Very Long Engagement ,2004,133,7.7
Lolita ,1962,152,7.7
Eye See You ,2002,96,5.3
Blade II ,2002,117,6.7
Seven Pounds ,2008,123,7.7
Bullet to the Head ,2012,92,5.7
The Godfather: Part III ,1990,170,7.6
Elizabethtown ,2005,123,6.4
"You, Me and Dupree ",2006,110,5.6
Superman II ,1980,116,6.8
Gigli ,2003,121,2.4
All the King's Men ,2006,128,6.2
Shaft ,2000,99,5.9
Anastasia ,1997,94,7.1
Moulin Rouge! ,2001,127,7.6
Domestic Disturbance ,2001,89,5.5
Black Mass ,2015,123,7
Flags of Our Fathers ,2006,135,7.1
Law Abiding Citizen ,2009,118,7.4
Grindhouse ,2007,189,7.6
Beloved ,1998,172,5.9
Lucky You ,2007,124,5.9
Catch Me If You Can ,2002,141,8
Zero Dark Thirty ,2012,157,7.4
The Break-Up ,2006,106,5.8
Mamma Mia! ,2008,108,6.3
Valentine's Day ,2010,125,5.7
The Dukes of Hazzard ,2005,107,5.1
The Thin Red Line ,1998,215,7.6
The Change-Up ,2011,118,6.4
Man on the Moon ,1999,118,7.4
Casino ,1995,178,8.2
From Paris with Love ,2010,92,6.5
Bulletproof Monk ,2003,104,5.5
"Me, Myself & Irene ",2000,116,6.5
Barnyard ,2006,90,5.6
Deck the Halls ,2006,93,4.9
The Twilight Saga: New Moon ,2009,130,4.6
Shrek ,2001,90,7.9
The Adjustment Bureau ,2011,106,7.1
Robin Hood: Prince of Thieves ,1991,155,6.9
Jerry Maguire ,1996,139,7.3
Ted ,2012,112,7
As Good as It Gets ,1997,139,7.7
Patch Adams ,1998,115,6.7
Anchorman 2: The Legend Continues,2013,143,6.3
Mr. Deeds ,2002,96,5.8
Super 8,2011,112,7.1
Erin Brockovich ,2000,131,7.3
How to Lose a Guy in 10 Days,2003,116,6.4
22 Jump Street,2014,112,7.1
Interview with the Vampire: The Vampire Chronicles ,1994,123,7.6
Yes Man ,2008,104,6.8
Central Intelligence ,2016,107,6.6
Stepmom ,1998,124,6.7
Daddy's Home ,2015,96,6.1
Into the Woods ,2014,125,6
Inside Man ,2006,129,7.6
Payback ,1999,90,7.1
Congo ,1995,109,5
We Bought a Zoo ,2011,124,7.1
Knowing ,2009,121,6.2
Failure to Launch ,2006,95,5.6
The Ring Two ,2005,128,5.4
"Crazy, Stupid, Love. ",2011,118,7.4
Garfield ,2004,80,5
Christmas with the Kranks ,2004,99,5.2
Moneyball ,2011,133,7.6
Outbreak ,1995,127,6.6
Non-Stop ,2014,106,7
Race to Witch Mountain ,2009,98,5.7
V for Vendetta ,2005,132,8.2
Shanghai Knights ,2003,114,6.2
Unforgotten             ,,45,7.9
Curious George ,2006,78,6.6
Herbie Fully Loaded ,2005,101,4.7
Don't Say a Word ,2001,113,6.3
Hansel & Gretel: Witch Hunters ,2013,98,6.1
Unfaithful ,2002,124,6.7
I Am Number Four ,2011,109,6.1
Syriana ,2005,128,7
13 Hours,2016,144,7.4
The Book of Life ,2014,95,7.3
Firewall ,2006,105,5.8
Absolute Power ,1997,121,6.7
G.I. Jane ,1997,125,5.8
The Game ,1997,129,7.8
Silent Hill ,2006,132,6.6
The Replacements ,2000,118,6.5
American Reunion ,2012,113,6.7
The Negotiator ,1998,140,7.3
Into the Storm ,2014,89,5.8
Beverly Hills Cop III ,1994,104,5.5
Gremlins 2: The New Batch,1990,106,6.3
The Judge ,2014,141,7.4
The Peacemaker ,1997,124,5.9
Resident Evil: Apocalypse ,2004,98,6.2
Bridget Jones: The Edge of Reason ,2004,108,5.9
Out of Time ,2003,114,6.5
On Deadly Ground ,1994,101,4.4
The Adventures of Sharkboy and Lavagirl 3-D,2005,93,3.5
The Beach ,2000,119,6.6
Raising Helen ,2004,119,6
Ninja Assassin ,2009,99,6.4
For Love of the Game ,1999,137,6.5
A Touch of Frost             ,,105,7.8
Striptease ,1996,117,4.3
Marmaduke ,2010,87,4.2
Hereafter ,2010,129,6.5
Murder by Numbers ,2002,115,6.1
Assassins ,1995,132,6.3
Hannibal Rising ,2007,131,6.2
The Story of Us ,1999,95,5.9
The Host ,2013,125,5.9
Basic ,2003,98,6.5
Blood Work ,2002,110,6.4
The International ,2009,118,6.5
Escape from L.A. ,1996,101,5.7
Twisted             ,,60,7.5
The Iron Giant ,1999,90,8
The Life Aquatic with Steve Zissou ,2004,119,7.3
Free State of Jones ,2016,139,6.7
The Life of David Gale ,2003,130,7.5
Man of the House ,2005,100,5.4
Run All Night ,2015,114,6.6
Eastern Promises ,2007,96,7.7
Into the Blue ,2005,110,5.8
The Messenger: The Story of Joan of Arc ,1999,158,6.4
Your Highness ,2011,102,5.6
Dream House ,2011,84,6
Mad City ,1997,115,6.2
Baby's Day Out ,1994,99,5.9
The Scarlet Letter ,1995,135,5.1
Fair Game ,2010,108,6.8
Defiance             ,,43,7
Domino ,2005,127,6
Jade ,1995,107,5.1
Gamer ,2009,95,5.8
Beautiful Creatures ,2013,124,6.2
Death to Smoochy ,2002,109,6.4
Zoolander 2,2016,102,4.8
The Big Bounce ,2004,88,4.9
What Planet Are You From? ,2000,87,5.6
Drive Angry ,2011,104,5.5
Street Fighter: The Legend of Chun-Li ,2009,96,3.7
The One ,2001,85,5.9
Outlander             ,,64,8.5
The Adventures of Ford Fairlane ,1990,104,6.3
Pirate Radio ,2009,135,7.4
Traffic ,2000,190,7.6
Indiana Jones and the Last Crusade ,1989,127,8.3
Anna Karenina ,2012,129,6.6
Chappie ,2015,120,6.9
The Bone Collector ,1999,118,6.7
Panic Room ,2002,112,6.8
The Tooth Fairy ,2006,89,4.6
Three Kings ,1999,114,7.1
Child 44,2015,137,6.4
Rat Race ,2001,112,6.4
K-PAX ,2001,120,7.4
Kate & Leopold ,2001,123,6.4
Bedazzled ,2000,93,6
The Cotton Club ,1984,123,6.5
3:10 to Yuma,2007,122,7.8
Taken 3,2014,115,6
Out of Sight ,1998,123,7
The Cable Guy ,1996,96,6
Earth ,1998,110,7.8
Dick Tracy ,1990,105,6.1
The Thomas Crown Affair ,1999,113,6.8
Riding in Cars with Boys ,2001,132,6.4
First Blood ,1982,93,7.7
Solaris ,1972,115,8.1
Happily N'Ever After ,2006,75,4.5
Mary Reilly ,1996,108,5.8
My Best Friend's Wedding ,1997,105,6.3
America's Sweethearts ,2001,102,5.7
Insomnia ,2002,118,7.2
Star Trek: First Contact ,1996,111,7.6
Jonah Hex ,2010,81,4.7
Courage Under Fire ,1996,116,6.6
Liar Liar ,1997,86,6.8
The Infiltrator ,2016,127,7.3
Inchon ,1981,140,2.7
The Flintstones ,1994,91,4.8
Taken 2,2012,98,6.3
Scary Movie 3,2003,84,5.5
Miss Congeniality ,2000,109,6.2
Journey to the Center of the Earth ,2008,93,5.8
The Princess Diaries 2: Royal Engagement,2004,113,5.7
The Pelican Brief ,1993,141,6.5
The Client ,1994,119,6.7
The Bucket List ,2007,97,7.4
Patriot Games ,1992,117,6.9
Monster-in-Law ,2005,101,5.5
Prisoners ,2013,153,8.1
Training Day ,2001,122,7.7
Galaxy Quest ,1999,102,7.3
Scary Movie 2,2001,83,5.2
The Muppets ,2011,103,7.1
Blade ,1998,110,7.1
Coach Carter ,2005,136,7.2
Changing Lanes ,2002,91,6.5
Anaconda ,1997,89,4.6
Coyote Ugly ,2000,107,5.6
Love Actually ,2003,129,7.7
A Bug's Life ,1998,95,7.2
From Hell ,2001,122,6.8
The Specialist ,1994,110,5.4
Tin Cup ,1996,135,6.3
"Yours, Mine and Ours ",1968,111,7.2
Kicking & Screaming ,2005,95,5.6
The Hitchhiker's Guide to the Galaxy ,2005,109,6.8
Fat Albert ,2004,93,4.3
Resident Evil: Extinction ,2007,94,6.3
Blended ,2014,117,6.5
Last Holiday ,2006,112,6.4
The River Wild ,1994,111,6.3
The Indian in the Cupboard ,1995,96,5.9
Savages ,2012,141,6.5
Cellular ,2004,94,6.5
Johnny English ,2003,87,6.1
The Ant Bully ,2006,88,5.9
Dune ,1984,177,6.6
Across the Universe ,2007,133,7.4
Revolutionary Road ,2008,119,7.3
16 Blocks,2006,102,6.6
Babylon A.D. ,2008,101,5.6
The Glimmer Man ,1996,91,5.3
Multiplicity ,1996,117,6
Aliens in the Attic ,2009,86,5.4
The Pledge ,2001,124,6.8
The Producers ,2005,134,6.4
Dredd ,2012,95,7.1
The Phantom ,1996,100,4.9
All the Pretty Horses ,2000,220,5.8
Nixon ,1995,212,7.1
The Ghost Writer ,2010,128,7.2
Deep Rising ,1998,106,6
Miracle at St. Anna ,2008,160,6
Curse of the Golden Flower ,2006,114,7
Bangkok Dangerous ,2008,99,5.4
Big Trouble ,2002,74,6.5
Love in the Time of Cholera ,2007,139,6.4
The Returned             ,,52,8.3
Shadow Conspiracy ,1997,103,4.9
Johnny English Reborn ,2011,101,6.3
Foodfight! ,2012,91,1.7
Argo ,2012,130,7.7
The Fugitive ,1993,130,7.8
The Bounty Hunter ,2010,110,5.5
Sleepers ,1996,147,7.5
Rambo: First Blood Part II ,1985,96,6.4
The Juror ,1996,118,5.6
Pinocchio ,1940,88,7.5
Heaven's Gate ,1980,325,6.8
Underworld: Evolution ,2006,102,6.8
Victor Frankenstein ,2015,110,6
Finding Forrester ,2000,136,7.3
28 Days,2000,103,6
Unleashed ,2005,103,7
The Sweetest Thing ,2002,90,5.1
The Firm ,1993,154,6.8
Charlie St. Cloud ,2010,99,6.5
The Mechanic ,2011,93,6.6
21 Jump Street,2012,109,7.2
Notting Hill ,1999,124,7
Chicken Run ,2000,84,7
Along Came Polly ,2004,90,5.9
Boomerang ,1992,117,5.4
The Heat ,2013,123,6.6
Cleopatra ,1963,251,7
Here Comes the Boom ,2012,105,6.5
High Crimes ,2002,115,6.3
The Mirror Has Two Faces ,1996,122,6.5
The Mothman Prophecies ,2002,119,6.5
Brüno ,2009,81,5.8
Licence to Kill ,1989,133,6.6
Red Riding Hood ,2011,100,5.4
15 Minutes,2001,120,6.1
Super Mario Bros. ,1993,104,4
Lord of War ,2005,122,7.6
Hero ,2002,80,7.9
One for the Money ,2012,91,5.3
The Interview ,2014,112,6.6
The Warrior's Way ,2010,100,6.3
McHale's Navy             ,,30,7.5
Micmacs ,2009,105,7.2
8 Mile,2002,110,7
Animal Kingdom: Let's go Ape ,2015,101,4.9
A Knight's Tale ,2001,144,6.9
The Medallion ,2003,108,5.2
The Sixth Sense ,1999,107,8.1
Man on a Ledge ,2012,102,6.6
The Big Year ,2011,100,6.2
The Karate Kid ,1984,126,7.2
American Hustle ,2013,138,7.3
The Proposal ,2009,108,6.7
Double Jeopardy ,1999,105,6.4
Back to the Future Part II ,1989,108,7.8
Lucy ,2014,89,6.4
Fifty Shades of Grey ,2015,129,4.1
Spy Kids 3-D: Game Over,2003,84,4.1
A Time to Kill ,1996,149,7.4
Cheaper by the Dozen ,2003,94,5.8
Lone Survivor ,2013,121,7.6
A League of Their Own ,1992,128,7.2
The Conjuring 2,2016,134,7.8
The Social Network ,2010,120,7.7
He's Just Not That Into You ,2009,129,6.4
Scary Movie 4,2006,89,5.1
Scream 3,2000,116,5.5
Back to the Future Part III ,1990,118,7.4
Get Hard ,2015,107,6
Bram Stoker's Dracula ,1992,155,7.5
Julie & Julia ,2009,123,7
42,2013,128,7.5
The Talented Mr. Ripley ,1999,139,7.3
Dumb and Dumber To ,2014,109,5.7
Eight Below ,2006,120,7.3
The Intern ,2015,121,7.2
Ride Along 2,2016,102,5.9
The Last of the Mohicans ,1992,117,7.8
Ray ,2004,178,7.7
Sin City ,2005,147,8.1
Vantage Point ,2008,90,6.6
"I Love You, Man ",2009,105,7.1
Shallow Hal ,2001,114,5.9
JFK ,1991,206,8
Big Momma's House 2,2006,99,4.6
The Mexican ,2001,123,6.1
Unbroken ,2014,137,7.2
17 Again,2009,102,6.4
The Other Woman ,2014,109,6
The Final Destination ,2009,82,5.2
Bridge of Spies ,2015,142,7.6
Behind Enemy Lines ,2001,106,6.4
Get Him to the Greek ,2010,114,6.4
Shall We Dance ,2004,106,6.1
Small Soldiers ,1998,108,6.1
Spawn ,1997,98,5.2
The Count of Monte Cristo ,2002,131,7.7
The Lincoln Lawyer ,2011,118,7.3
Unknown ,2011,113,6.9
The Prestige ,2006,130,8.5
Horrible Bosses 2,2014,116,6.3
Escape from Planet Earth ,2013,89,5.9
Apocalypto ,2006,139,7.8
The Living Daylights ,1987,130,6.7
Predators ,2010,107,6.4
Legal Eagles ,1986,116,5.9
Secret Window ,2004,96,6.6
The Lake House ,2006,99,6.8
The Skeleton Key ,2005,104,6.5
The Odd Life of Timothy Green ,2012,105,6.6
Made of Honor ,2008,101,5.8
Jersey Boys ,2014,134,6.9
The Rainmaker ,1997,135,7.1
Gothika ,2003,98,5.8
Amistad ,1997,155,7.2
Medicine Man ,1992,106,6
Aliens vs. Predator: Requiem ,2007,102,4.7
Ri¢hie Ri¢h ,1994,95,5.2
Autumn in New York ,2000,103,5.5
Music and Lyrics ,2007,95,6.5
Paul ,2011,109,7
The Guilt Trip ,2012,95,5.8
Scream 4,2011,111,6.2
8MM,1999,123,6.5
The Doors ,1991,140,7.2
Sex Tape ,2014,94,5.1
Hanging Up ,2000,94,4.7
Final Destination 5,2011,92,5.9
Mickey Blue Eyes ,1999,102,5.8
Pay It Forward ,2000,123,7.2
Fever Pitch ,2005,104,6.2
Arthur             ,,30,7.4
Drillbit Taylor ,2008,102,5.7
A Million Ways to Die in the West ,2014,136,6.1
The Shadow ,1994,93,6
Extremely Loud & Incredibly Close ,2011,129,6.9
Morning Glory ,2010,107,6.5
Get Rich or Die Tryin' ,2005,117,5
The Art of War ,2000,116,5.7
Rent ,2005,135,7
Bless the Child ,2000,107,5.1
The Out-of-Towners ,1999,90,5.3
The Island of Dr. Moreau ,1996,99,4.4
The Musketeer ,2001,104,4.7
The Other Boleyn Girl ,2008,115,6.7
Sweet November ,2001,119,6.7
The Reaping ,2007,99,5.7
Mean Streets ,1973,112,7.4
Renaissance Man ,1994,128,6.1
Colombiana ,2011,112,6.4
The Magic Sword: Quest for Camelot ,1998,86,6.2
City by the Sea ,2002,108,6.2
At First Sight ,1999,128,5.9
Torque ,2004,84,4
City Hall ,1996,111,6.2
Showgirls ,1995,131,4.6
Marie Antoinette ,2006,123,6.4
Kiss of Death ,1995,101,5.9
Get Carter ,2000,102,5.1
The Impossible ,2012,114,7.6
Ishtar ,1987,107,4.2
Fantastic Mr. Fox ,2009,87,7.8
Life or Something Like It ,2002,103,5.8
Memoirs of an Invisible Man ,1992,99,5.9
Amélie ,2001,122,8.4
New York Minute ,2004,91,4.8
Alfie ,2004,103,6.2
Big Miracle ,2012,107,6.5
The Deep End of the Ocean ,1999,106,6.3
Feardotcom ,2002,101,3.3
Cirque du Freak: The Vampire's Assistant ,2009,109,5.9
Victor Frankenstein ,2015,110,6
Duplex ,2003,89,5.8
Soul Men ,2008,100,6.5
Raise the Titanic ,1980,119,4.7
Universal Soldier: The Return ,1999,83,4.1
Pandorum ,2009,108,6.8
Impostor ,2001,102,6.2
Extreme Ops ,2002,93,4.5
Just Visiting ,2001,84,5.8
Sunshine ,2007,107,7.3
A Thousand Words ,2012,91,5.9
Delgo ,2008,94,4.4
The Gunman ,2015,115,5.8
Alex Rider: Operation Stormbreaker ,2006,93,5.1
Disturbia ,2007,105,6.9
Hackers ,1995,107,6.2
The Hunting Party ,2007,101,6.9
The Hudsucker Proxy ,1994,111,7.3
The Warlords ,2007,113,7.1
Nomad: The Warrior ,2005,112,6
Snowpiercer ,2013,126,7
A Monster in Paris ,2011,90,6.8
The Last Shot ,2004,93,5.7
The Crow ,1994,98,7.6
Baahubali: The Beginning ,2015,159,8.4
The Time Traveler's Wife ,2009,107,7.1
Because I Said So ,2007,102,5.6
The Fast and the Furious ,2001,106,6.7
Frankenweenie ,2012,87,7
Serenity ,2005,119,8
Against the Ropes ,2004,110,5.3
Superman III ,1983,125,4.9
Grudge Match ,2013,113,6.4
Red Cliff ,2008,150,7.4
Sweet Home Alabama ,2002,108,6.1
The Ugly Truth ,2009,96,6.5
Sgt. Bilko ,1996,93,5.7
Spy Kids 2: Island of Lost Dreams,2002,100,5.1
Star Trek: Generations ,1994,118,6.6
The Grandmaster ,2013,122,6.5
Water for Elephants ,2011,120,6.9
3rd Rock from the Sun,,60,7.8
Dragon Nest: Warriors' Dawn ,2014,88,6.4
The Hurricane ,1999,146,7.6
Enough ,2002,115,5.6
Heartbreakers ,2001,123,6.2
Paul Blart: Mall Cop 2,2015,94,4.4
Angel Eyes ,2001,102,5.6
Joe Somebody ,2001,98,5.5
The Ninth Gate ,1999,133,6.7
Extreme Measures ,1996,118,6.1
Rock Star ,2001,105,6.2
Precious ,2009,109,7.3
White Squall ,1996,129,6.6
The Thing ,1982,109,8.2
Riddick ,2013,127,6.4
Switchback ,1997,118,6.4
Texas Rangers ,2001,110,5.2
City of Ember ,2008,90,6.5
The Master ,2012,144,7.1
Virgin Territory ,2007,97,4.8
The Express ,2008,130,7.3
The 5th Wave,2016,112,5.2
Creed ,2015,133,7.7
The Town ,2010,150,7.6
What to Expect When You're Expecting ,2012,110,5.7
Burn After Reading ,2008,96,7
Nim's Island ,2008,96,6
Rush ,2013,123,8.1
Magnolia ,1999,188,8
Cop Out ,2010,107,5.6
How to Be Single ,2016,110,6.1
Dolphin Tale ,2011,113,6.9
Twilight ,2008,122,5.2
John Q ,2002,116,7
Blue Streak ,1999,93,6.3
We're the Millers ,2013,118,7
Obitaemyy ostrov ,2009,115,5.3
Breakdown ,1997,93,6.9
Never Say Never Again ,1983,121,6.2
Hot Tub Time Machine ,2010,101,6.4
Dolphin Tale 2,2014,107,6.4
Reindeer Games ,2000,124,5.7
A Man Apart ,2003,109,6.1
Aloha ,2015,105,5.4
Ghosts of Mississippi ,1996,130,6.7
Snow Falling on Cedars ,1999,127,6.8
The Rite ,2011,114,6
Gattaca ,1997,106,7.8
Isn't She Great ,2000,95,5.3
Space Chimps ,2008,81,4.5
Head of State ,2003,95,5.4
The Hangover ,2009,108,7.8
Ip Man 3,2015,105,7.2
Austin Powers: The Spy Who Shagged Me ,1999,95,6.6
Batman ,1989,126,7.6
There Be Dragons ,2011,102,5.9
Lethal Weapon 3,1992,121,6.7
The Blind Side ,2009,129,7.7
Rush Hour             ,,43,5.8
Spy Kids ,2001,88,5.4
Horrible Bosses ,2011,106,6.9
True Grit ,2010,110,7.7
The Devil Wears Prada ,2006,109,6.8
Star Trek: The Motion Picture ,1979,143,6.4
Identity Thief ,2013,120,5.7
Cape Fear ,1991,128,7.3
21,2008,123,6.8
Trainwreck ,2015,129,6.3
Guess Who ,2005,105,5.9
The English Patient ,1996,162,7.4
L.A. Confidential ,1997,138,8.3
Sky High ,2005,100,6.2
In & Out ,1997,90,6.3
Species ,1995,108,5.8
A Nightmare on Elm Street ,1984,101,7.5
The Cell ,2000,109,6.3
The Man in the Iron Mask ,1998,132,6.4
Secretariat ,2010,123,7.2
TMNT ,2007,87,6.3
Radio ,2003,109,6.9
Friends with Benefits ,2011,109,6.6
Neighbors 2: Sorority Rising,2016,92,6
Saving Mr. Banks ,2013,125,7.5
Malcolm X ,1992,202,7.7
This Is 40,2012,134,6.2
Old Dogs ,2009,88,5.4
Underworld: Rise of the Lycans ,2009,92,6.6
License to Wed ,2007,91,5.3
The Benchwarmers ,2006,75,5.6
Must Love Dogs ,2005,98,5.9
Donnie Brasco ,1997,147,7.8
Resident Evil ,2002,100,6.7
Poltergeist ,1982,120,7.4
The Ladykillers ,2004,104,6.2
Max Payne ,2008,103,5.4
In Time ,2011,109,6.7
The Back-up Plan ,2010,104,5.3
Something Borrowed ,2011,112,5.9
Hit the Floor             ,,60,7
Black Knight ,2001,95,4.8
The Bad News Bears ,1976,102,7.3
Street Fighter ,1994,102,3.8
The Pianist ,2002,150,8.5
From Hell ,2001,122,6.8
The Nativity Story ,2006,101,6.8
House of Wax ,2005,108,5.3
Closer ,2004,98,7.3
J. Edgar ,2011,137,6.6
Mirrors ,2008,112,6.2
Queen of the Damned ,2002,101,5.2
Predator 2,1990,103,6.2
Untraceable ,2008,101,6.2
Blast from the Past ,1999,112,6.6
Flash Gordon ,1980,111,6.4
Jersey Girl ,2004,102,6.2
Alex Cross ,2012,101,5.1
Midnight in the Garden of Good and Evil ,1997,155,6.6
Heist ,2015,93,6.1
Nanny McPhee Returns ,2010,109,6.1
Hoffa ,1992,140,6.6
The X Files: I Want to Believe ,2008,108,5.9
Ella Enchanted ,2004,96,6.3
Concussion ,2015,123,7.1
Abduction ,2011,106,5
Valiant ,2005,76,5.6
Wonder Boys ,2000,107,7.4
Superhero Movie ,2008,82,4.5
Broken City ,2013,109,6.2
Cursed ,2005,99,5
Premium Rush ,2012,91,6.5
Hot Pursuit ,2015,87,5.1
The Four Feathers ,2002,125,6.5
Parker ,2013,118,6.2
Wimbledon ,2004,98,6.3
Furry Vengeance ,2010,92,3.8
Bait ,2012,93,5.2
Krull ,1983,116,6
Lions for Lambs ,2007,92,6.2
Flight of the Intruder ,1991,115,5.7
Walk Hard: The Dewey Cox Story ,2007,120,6.7
The Shipping News ,2001,111,6.8
American Outlaws ,2001,94,6
The Young Victoria ,2009,100,7.3
Whiteout ,2009,101,5.5
The Tree of Life ,2011,139,6.7
Knock Off ,1998,91,4.8
Sabotage ,2014,109,5.7
The Order ,2003,102,5.1
Punisher: War Zone ,2008,103,6
Zoom ,2006,83,4.2
The Walk ,2015,123,7.4
Warriors of Virtue ,1997,101,4.6
A Good Year ,2006,117,6.9
Luther             ,,60,8.6
Radio Flyer ,1992,114,6.9
"Blood In, Blood Out ",1993,330,8
Smilla's Sense of Snow ,1997,121,6.4
Femme Fatale ,2002,114,6.3
Lion of the Desert ,1980,156,8.4
The Horseman on the Roof ,1995,135,7.1
Ride with the Devil ,1999,148,6.8
Biutiful ,2010,148,7.5
The Lovers ,2015,109,4.5
Bandidas ,2006,93,5.7
Black Water Transit ,2009,,7.2
The Maze Runner ,2014,113,6.8
Unfinished Business ,2015,91,5.4
The Age of Innocence ,1993,139,7.2
The Fountain ,2006,96,7.3
Chill Factor ,1999,102,5.2
Stolen ,2012,96,5.5
Ponyo ,2008,101,7.7
The Longest Ride ,2015,128,7.1
The Astronaut's Wife ,1999,109,5.3
I Dreamed of Africa ,2000,114,5.6
Playing for Keeps ,2012,105,5.7
Mandela: Long Walk to Freedom ,2013,141,7.1
Reds ,1981,195,7.5
A Few Good Men ,1992,138,7.6
Exit Wounds ,2001,101,5.5
